Company name,Amount (millions),Date,Industry,City,State,Lead Investor,Company description,Round Type
Adarza BioSystems,25,2/4/2020,Software,West Henrietta,New York,Lightchain,"Adarza BioSystems, Inc. manufactures a label-free platform technology that enables the simultaneous detection of hundreds of analytes in a single drop of fluid.",D
ClearMetal,15,2/4/2020,Software,San Francisco,California,Eclipse Ventures,ClearMetal is a predictive logistics company that uses predictive intelligence to unlock unprecedented efficiencies for global trade. The ClearMetal Predictive Intelligence Platform forecasts the future with certainty– enabling carriers to increase profitability through precise asset allocation and predictive trade management. ,A
PoolTogether,1,2/4/2020,Software,Brooklyn,New York,IDEA CoLab Ventures,PoolTogether is a no loss savings game powered by Ethereum. ,Seed
Sendoso,40,2/4/2020,Software,San Francisco,California,Oak HC/FT,"Sendoso provides a platform that allows organizations to engage their top prospects and customers by using their gifting & direct mail throughout the customer lifecycle, from lead generation to converting customers into brand advocates. The solution sources, sends, and centralizes the direct mail & gifting process.",B
Slope Software,1,2/4/2020,Software,Atlanta,Georgia,Cofounders Capital,"Slope Software is an actuarial financial projection modeling software company, designed using modern thinking that breaks through all the limitations of traditional financial modeling software.",Seed
Emerge,20,2/4/2020,Software,Scottsdale,Arizona,NewRoad Capital Partners,"Reduce shipping costs with our Digital Freight Marketplace, giving you access to the lowest rates on live capacity with just a few clicks.",A
Finix,35,2/4/2020,Software,San Francisco,California,Inspired Capital Partners,Finix is a payments infrastructure platform that facilitates real-time push-to-card payments.,B
Kaskada,8,2/4/2020,Software,Seattle,Washington,NextGen Venture Partners,Kaskada is a machine learning studio that uses event-based and streaming data to compute machine learning features. ,A
Outset Medical ,125,2/5/2020,Healthcare services,San Jose,California,D1 Capital Partners,"Outset is a pioneering medical technology company that always puts the patient before the machine. Our human-centered model is designed to dramatically improve not only the care experience – for patients, families, providers and physicians alike – but also cost-efficiencies for providers. ",E
Kasisto,7,2/4/2020,Software,New York City,New York,Napier Park Financial Partners,"Kasisto was founded in 2013 with the vision of enabling companies to engage and transact with their customers through intelligent conversations, anytime, anywhere. ",B
Roshi,2.4,2/5/2020,Software,San Francisco,California,F7 Ventures,"Roshi provides cannabis manufacturers with an inventory management software platform to navigate the complicated regulatory and compliance landscape, while streamlining fragmented inventory operations under one central system. ",Seed
Deliverr,40,2/5/2020,Software,San Francisco,California,Activant Capital ,Deliverr provides shipping services for e-commerce businesses.,C
Transparent Systems,14,2/6/2020,Software,Seattle,Washington,Square,"At Transparent Systems we are transforming global financial systems with an open universal platform that enables secure, frictionless payments through distributed cryptographic systems.",A
RevOps,1.6,2/6/2020,Software,San Francisco,California,Gradient Ventures,"RevOps provides automation and collaborative pricing tools for businesses to configure, price, quote, and sign deals in seconds. ",Seed
SIMBA Chain,1.5,2/6/2020,Software,Plymouth,Indiana,1st Source Bank,"SIMBA Chain is a cloud-based, blockchain-as-a-service (BaaS) platform, enabling users across a variety of skill sets to implement dapps (decentralized applications).",Seed
Lightning Labs,10,2/6/2020,Software,San Francisco,California,Craft Ventures,"At Lightning Labs, we develop software that powers the Lightning Network. Our open source, secure, and scalable Lightning systems enable users to send and receive money more efficiently than ever before.",A
Casted,2.35,2/6/2020,Business Products and Services,Indianapolis,Indiana,High Alpha,Casted is the only B2B Podcasting Platform. We are helping B2B Podcasters and Content Marketers be more effective through better measurement and activation of their podcasts.,Seed
Turo,30,2/6/2020,Consumer Products and Services,San Francisco,California,Allen & Company,"Founded in 2009 and headquartered in San Francisco, Turo (formerly RelayRides) is a car rental marketplace where travelers can rent any car they want, wherever they want it, from a vibrant community of local car owners. Travelers choose from a totally unique selection of nearby cars, while car owners earn extra money and help fuel their adventures.",E
Maven Machines ,7,2/6/2020,Software,Pittsburgh,Pennsylvania,Allos Ventures,"Maven Machines is a leader in mobile-cloud technology for transportation dispatch, transportation safety, operations, and compliance.",A
TextUS,5,2/6/2020,Software,Boulder,Colorado,Blossom Street Ventures,"TextUs provides a business-class text messaging software and a real-time communication platform designed to improve how businesses communicate with their leads, candidates, and customers.",B
SaaSWorks,5,2/6/2020,Consumer Products and Services,Boston,Massachusetts,Conversion Ventures,SaaSWorks is a revenue operations and customer success solution for scaling subscription businesses.,Seed
Passageways,5,2/7/2020,Software,Indianapolis,Indiana,Five Elms Capital ,"Passageways was founded in 2003 with a mission to Inspire and Enable Teams to Perform Better, Together. We do that by delivering a remarkable collaborative experience by leveraging technology, talent, and insightful analytics. ",Private Equity Round
Allvoices,3,2/7/2020,Software,Santa Monica,California,Crosscut Ventures,"AllVoices is an anonymous reporting tool that enables anyone to report harassment, bias, & culture issues directly to company leadership.",Seed
Sonoma BioTherapeutics,40,2/7/2020,Biotechnology,San Francisco,California,8VC,"Sonoma brings together research, development and manufacturing capabilities in cell therapy and genetic engineering with a team of executives, scientists, board members and investors with extensive experience in the fields of cell therapy and drug discovery.",A
CREXi,30,2/7/2020,Retailing and distribution,Venice,California,Industry Ventures,"CREXi is a commercial real estate marketplace for lease, buy, and sale.",B
Boost Insurance ,14,2/7/2020,Finance,New York City,New York,Greycroft Holdings,"Boost Insurance USA, Inc. is an independent, technology-enabled insurance platform built to enable emerging insurtech startups that are taking innovative approaches to insurance products, distribution, data analytics, underwriting, and claims. Boost is led by a team of experienced venture capital & technology-focused professionals coupled with experienced insurance partners.",A
Kneron,40,2/8/2020,Software,San Diego,California,Horizons Ventures,Kneron develops an application-specific integrated circuit and software that offers artificial intelligence-based tools.,A
soona,3.5,2/8/2020,Media and entertainment,Minneapolis,Minnesota,IrishAngels,Studio Soona is a minneapolis-based video and photo ,Seed
Snowflake,479,2/10/2020,Software,San Francisco,California,Dragoneer Investment Group,"Snowflake’s mission is to enable every organization to be data-driven. Our cloud-built data platform makes that possible by delivering instant elasticity, secure data sharing and per-second pricing, across multiple clouds.",G
Anchore,20,2/9/2020,Software,Santa Barbara,California,SignalFire,"Anchore makes it possible to manage, secure, and troubleshoot containers continuously, without sacrificing speed. It delivers a process that allows container development and deployment to be secure from the start, by ensuring that the contents of your containers match the standards that you define. The tools are transparent to developers, visible to production, accessible to security, and all designed for the fluid nature of containers.",A
Worlds,10,2/8/2020,Software,Dallas,Texas,Align Capital,"Worlds is a year-old software company on a mission to deliver human perception at an impossible scale, Worlds co-founder and CEO Dave Copps told Dallas Innovates. ",A
HouseCanary,65,2/11/2020,Software,San Francisco,California,Alpha Edison,HouseCanary is a real estate technology company that offers a real estate analytics and valuation platform.,C
Verde Farms,15,2/11/2020,Consumer Products and Services,Woburn,Massachusetts,Manna Tree Partners,"Due to the many benefits of organic & grass-fed beef, we are proud to supply our meat to top grocery chains & restaurants throughout the US.",Venture Round
Iora Health ,126,2/11/2020,Medical devices and equipment,Boston,Massachusetts,PremjiInvest,"Iora Health is building a different kind of health system. The company delivers high impact relationship based care starting with primary health care. Built from the ground up, the Iora care delivery model ensures radically improved service, better health outcomes, and dramatically lower overall health care costs.",F
EmployStream,7,2/10/2020,Software,Cleveland,Ohio,Plymouth Group,EmployStream is a Software-as-a-Service (SaaS) platform that automates the hiring and onboarding process for employers.,B
Aella Credit ,10,2/10/2020,Software,San Francisco,California,HQ Financial Group,Aella Credit provides instant credit solutions that eliminates the hassle of standard loan applications and enables employee to borrow at competitive and fair rates through their employers.,Debt Financing
Gento,5,2/10/2020,Software,Los Angeles,California,Palisades Growth Capital,Gento provides on-demand staffing and care delivery management to home health agencies and skilled nursing facilities through a platform and mobile app.,A
Volastra Therapeutics,12,2/11/2020,Biotechnology,New York City,New York,Polaris Partners,Volastra is a biotechnology company focused on developing novel therapies for patients with metastatic cancers by exploiting unique insights into chromosomal instability. ,Seed
Alpha Foods,28,2/12/2020,Consumer Products and Services,Glendale,California,AF Ventures,"Deliciously convenient 100% plant-based foods focused on taste, texture and sustainability",A
Country Archer Jerky,12,2/12/2020,Consumer Products and Services,San Bernardino,California,Monogram Capital Partners,Healthy gourmet meat snacks for the modern day no-nonsense carnivore.,C
Pinpoint Therapeutics,1,2/12/2020,Biotechnology,Philadelphia,Pennsylvania,Kairos Ventures ,"Pinpoint Therapeutics is a preclinical stage company developing novel cancer treatment options aimed to specifically inhibit autophagy, a key cell survival and treatment resistance pathway in cancer.",Debt Financing
Negotiatus,10,2/12/2020,Software,New York City,New York,Rally Ventures,"Purchasing software that helps business administrators and users place orders, control spend, and submit payment across their vendors.",A
EquityBee,6.6,2/12/2020,Finance,San Mateo,California,Group11,EquityBee helps startup employees get the money they need to exercise their stock options before they expire by linking them to investors.,A
Cysiv,26,2/11/2020,Business Products and Services,Irving,Texas,Forgepoint Capital ,"Cysiv provides SOC-as-a-Service to enterprises and MSPs that need to better manage cyber risk by accelerating and improving the process of detecting, investigating and remediating threats, and of managing critical security controls.",A
iDonate,8.7,2/11/2020,Software,Plano,Texas,PerformanceEdge Partners,iDonate is a digital giving software company that delivers an enterprise-class system for non-profit leaders around the globe.,B
Headspace,53,2/12/2020,Software,Santa Monica,California,blisce/,Headspace is a digital health platform that provides guided meditation sessions and mindfulness training.,C
Deep Instinct,43,2/12/2020,Software,San Francisco,California,Milennium Technology,"Deep Instinct is the first company to apply deep learning to cybersecurity. Leveraging deep learning’s predictive capabilities, Deep Instinct’s on-device, proactive solution protects against zero-day threats and APT attacks with unmatched accuracy. ",C
Nova Credit,50,2/12/2020,Software,San Francisco,California,Kleiner Perkins,Nova Credit is the premier cross-border credit reporting agency. The lack of a domestic credit history keeps millions of immigrants in the U.S. ,B
UrbanFootprint,11.5,2/12/2020,Software,Berkeley,California,Valo Ventures,UrbanFootprint is location intelligence software for smart cities.,A
LeafWorks,1,2/13/2020,Biotechnology,Sebastopol,California,Bonaventure Equity ,"LeafWorks is an alternative biotech company striving to be more transparent, accountable, and environmentally friendly.",A
Juked,0.8,2/13/2020,Media and entertainment,San Francisco,California,500 Startups,Juked makes it easier to watch and follow the esports you care about.,Pre-seed
Datree,8,2/13/2020,Software,San Francisco,California,Blumberg Capital,"Datree brings back control to Git-centric and autonomous DevOps organizations, enabling continuous delivery, and reliable flow of changes.",Venture Round
Reggora,10,2/12/2020,Software,San Francisco,California,Spark Capital,"Reggora is a cloud-based, two-sided appraisal platform that streamlines the appraisal process for mortgage lenders and appraisers.",A
Gumgum,22,2/14/2020,Software,Santa Monica,California,NewView Capital,"GumGum represents the future of content-licensing for the Internet. We use perfect information to facilitate a fair transaction between publishers and content providers. The result is a system that leverages usage-based licensing models to enhance monetization, increase access to content and much more. GumGum was founded by Ophir Tanz and Ari Mir in 2006. The site publicly launched in November 2007 and currently tracks over 1 billion license views per month.",D
MoEngage,25,2/14/2020,Software,Palo Alto,California,Eight Roads Ventures,"MoEngage is an Intelligent Marketing Cloud, built for the Mobile-first world. With MoEngage, companies can orchestrate campaigns across channels like push, email, in-app messaging, web push and SMS, with auto-optimization towards higher conversions powered by machine learning.",C
Talage,5,2/14/2020,Software,Reno,Nevada,Merus Capital,Talage provides a SaaS based platform enables small business owners to purchase essential commercial coverage from agents online,A
Esper,7.6,2/14/2020,Software,Menlo Park,California,Madrona Venture Group,Esper is the industry’s most powerful platform for Android device deployment and application management.,A
Instant Teams,1.5,2/14/2020,Software,Rehoboth,Delaware,Squadra Ventures ,"The remote team assembly and management solution designed to ease the pain of finding, building, and maintaining a remote workforce.",Venture Round
Anchain.ai,4.3,2/14/2020,Software,San Jose,California,Amino Capital,"AnChain delivers an AI-powered Blockchain Ecosystem Intelligence platform for enterprise-grade Security, Risk, and Compliance. It is used by blockchain companies including Huobi, TokenInsight, and hedge funds.",Seed
Astranis,90,2/14/2020,Telecommunications,San Francisco,California,Venrock,"Astranis is building small, low-cost telecommunications satellites.",B
BlockFi,30,2/14/2020,Finance,New York City,New York,Valur Ventures,"Based in New York, BlockFi is a secured non-bank lender that offers USD loans to cryptoasset owners. Our products bring additional liquidity to the blockchain asset sector and meet needs of both individuals and institutions holding blockchain assets. ",B
Codagenix,20,2/14/2020,Biotechnology,New York City,New York,Adjuvant Capital ,Codagenix employs a proprietary technology platform for the construction of live attenuated viral vaccines for multiple targets.,B
Innovaccer,70,2/14/2020,Software,San Francisco,California,Steadview Capital,Innovaccer is a leading healthcare data activation company committed to making powerful & enduring difference in the way care is delivered.,C
Flywire,120,2/14/2020,Software,Boston,Massachusetts,Goldman Sachs ,"Flywire’s trusted and secure global payment platform keeps your money moving around the world. With our custom solutions, robust collections network, and first-class support, we streamline your payments process from start to finish.",E
Praetorian ,10,2/13/2020,Software,Austin,Texas,Bill Wood Ventures,"As a collective of highly technical engineers and developers offering deep security expertise, Praetorian solves the toughest challenges faced by today’s leading organizations across an ever-evolving digital threat landscape",A
AdQuick,6,2/13/2020,Business Products and Services,Los Angeles,California,Initialized Capital,"AdQuick is the easiest way to buy Outdoor advertising. We are the first true out of home marketplace, providing end-to-end tools to improve the out of home buying experience for media owners, brands, and agencies.",A
PayStand,20,2/14/2020,Software,San Francisco,California,DNX Ventures,"PayStand is a next generation online payment solution that enables organizations to quickly and easily accept credit cards, eChecks, and Bitcoin with one monthly fee and no transaction costs, making it extremely convenient for both merchants and buyers. The PayStand business model is fairer to merchants and offers transparency and flexibility to consumers. An all-in-one solution for accepting payments online for merchants, non-profits and service providers, PayStand provides all the elements necessary to set up online commerce in as little as five minutes. ",B
N2uitive ,1.3,2/15/2020,Finance,Seattle,Washington,Cascade Seed Fund,"n2uitive is the leader in solutions for Property/Casualty insurers and Third Party Administrators for recorded statement recording, storage and workflow.",Venture Round
Freight Farms ,15,2/15/2020,Business Products and Services,Boston,Massachusetts,Ospraie Ag Science,"Founded in 2010 in Boston, Freight Farms patented technology gives organizations the opportunity to participate in the fast-growing local food market",B
Moda Operandi ,100,2/15/2020,Retailing and distribution,New York City,New York,Apax Digital,Moda Operandi is the first online luxury fashion retailer to allow members to pre-order tomorrow’s styles today.,Venture Round
Encantos,2,2/17/2020,Media and entertainment,Culver City,California,Kapor Capital,Encantos is on a mission to inspire 21st century kids to reach their potential through 21st century skills. ,Seed
Toast ,400,2/17/2020,Software,Boston,Massachusetts,Bessemer Venture Partners,"Toast is an all-in-one restaurant technology platform. Built specifically for restaurants, it brings together many solutions from integrated online ordering to gift card and loyalty programs to labor and sales reporting all on a mobile, cloud-based POS system.",F
Imperative Care ,85,2/16/2020,Software,Campbell,California,Bain Capital Life Sciences,"Imperative Care is reimagining how technology can solve stroke’s unmet needs, enabling healthcare providers with the ability to raise the standard of care for patients.",C
Pawlicy Advisor,1,2/17/2020,Finance,New York City,New York,Defy.vc,"Pawlicy Advisor seeks to protect pets and identify savings by offering simple, intuitive, and value-oriented insurance advice.",Seed
Mantl,1,2/17/2020,Finance,New York City,New York,Point72 Ventures,Mantl is the first customer-centric outer core ecosystem that gives banks and credit unions the flexibility to innovate,A
Adranos Energetics,1,2/17/2020,Business Products and Services,West Lafayette,Indiana,Archibald Cox,"At Adranos, Inc. we are bringing the future of solid propulsion to the world. Our proprietary formulation increases performance (higher Isp), eliminates hydrochloric acid, and stops slag formation. ",Venture Round
MotoRefi,8.6,2/17/2020,Finance,Arlington,Virginia,Accomplice,MotoRefi is an auto refinance startup that helps customers to save on their car loan.,A
DigitalPay,1.2,2/19/2020,Software,San Francisco,California,Temerity Capital Partners,"DigitalPay provides an enterprise SaaS digital payments platform. The company primarily services the travel, legal services administrator, consumer rebate, and gig economy (large independent contractor business) verticals. ",Seed
ClassTag,3.6,2/19/2020,Software,New York City,New York,Contour Venture Partners,"Simple parent-teacher communication platform that just works, for everyone.",Seed
Dropps,16,2/18/2020,Consumer Products and Services,Philadelphia,Pennsylvania,The Craftory ,"Dropps is a direct-to-consumer household cleaning products company providing non-toxic, plastic free laundry and dish detergent pods. ",Venture Round
Aisera,20,2/18/2020,Software,Palo Alto,California,Khosla Ventures,"Aisera offers the world's first AI-driven service experience solution that automates operations and support for IT, Sales and customer service, making businesses and customers successful by offering consumer-like self-service resolutions to users. ",B
OnSiteIQ,4.5,2/18/2020,Software,New York City,New York,Bullpen Capital,OnSiteIQ is a visual documentation service for construction projects. ,A
Feather,30,2/20/2020,Consumer Products and Services,Brooklyn,New York,Cobalt Capital,"Feather is redefining furniture rental for city living, helping people make any apartment feel like home in less than a week.",B
SentileOne,200,2/20/2020,Software,Mountain View,California,Insight Partners,"SentinelOne was founded in 2013 by an elite team of cyber security and defense experts who developed a fundamentally new, groundbreaking approach to endpoint protection",E
Udemy,50,2/20/2020,Software,San Francisco,California,Bensesse Holdings ,Udemy is the online learning and teaching marketplace. Its mission is to help anyone build the life they imagine.,E
EnClear Therapies,10,2/19/2020,Biotechnology,Cambridge,Massachusetts,20/20 Healthcare Partners,"EnClear Therapies is a biotechnology company developing neurology-focused, device-based systems that remove toxic proteins as therapies for the treatment of neurodegenerative diseases and provide closed loop delivery & monitoring of cerebrospinal fluids (CSF).",A
Whatfix,32,2/19/2020,Software,Sunnyvale,California,Sequoia Capital India,Whatfix enhances the self-service capability of web products and helps companies to reduce support queries and improve user engagement. It is a cloud platform using which product teams can self-curate interactive guides & integrate across all user touch points. ,C
At-bay,34,2/20/2020,Software,Mountain View,California,Acrew Capital,At-Bay provides cyber insurance for the digital age that empowers you to embrace technology fearlessly. ,B
Alladapt Immunotherapeutics,60,2/20/2020,Biotechnology,Menlo Park,California,Gurnet Point Capital ,"At Alladapt, we believe every person with food allergy deserves to experience more of life’s magical moments with less fear and greater confidence.",C
ChartHop,5,2/20/2020,Software,New York City,New York,Andreessen Horowitz,ChartHop is the world’s first organizational management platform empowering leaders and team members alike to see the past and present of their organization and design its future.,Seed
IntelyCare,45,2/20/2020,Software,Quincy,Massachusetts,Endeavour Vision,IntelyCare is the intelligent workforce management solution for post-acute healthcare facilities.,B
Tarana Wireless,24,2/20/2020,Software,Santa Clara,California,Khosla Ventures,"Tarana Wireless provides fixed wireless access network solutions, powered by multidimensional optimization of radio signals. Its Gigabit 1 fixed access system overcomes network economics challenges for service providers in mainstream broadband markets, using free unlicensed spectrum.",Venture Round
Inpria,31,2/20/2020,Semiconductors,Corvallis,Oregon,JSR Corp,"Inpria Corporation is a pioneer in extending semiconductor lithography with inorganic photoresists and other thin-films for nanoscale patterning. Inpria’s patented photo-condensed molecular oxides offer customers the unique ability to deposit – directly from solution – atomically smooth, intrinsically dense, and directly photopatternable metal oxide films, enabling advanced performance with simplified processing.
",C
Tempo Storm,3.3,2/20/2020,Media and entertainment,Los Angeles,California,Galaxy Interactive,"Professional Gaming Organization, with teams in Hearthstone, Smash, FIFA, PUBG, Fortnite, Shadowverse, MTG, Apex, Rainbow 6 Siege, and the FGC",Seed
Self Financial,20,2/24/2020,Finance,Austin,Texas,Altos Ventures,"Self (formerly Self Lender) is a venture-backed fintech startup with a mission to help people build credit, particularly those who are new to credit or who might not have access to traditional financial products.",C
PetPlate,9,2/25/2020,Consumer Products and Services,New York City,New York,DFE Capital Management,"PetPlate makes it easy for pet parents to nourish their pets with love by delivering freshly-cooked meals made from wholesome ingredients that do not contain any by-products, rendered meats or preservatives. ",A
Molekule,58,2/25/2020,Biotechnology,San Francisco,California,RPS Ventures,"Molekule has introduced a molecular air purifier which leverages patented technology that eliminates the full spectrum of indoor pollutants, breaking them down on a molecular level. ",C
Temi,15,2/25/2020,Media and entertainment,New York City,New York,Joy Capital ,"temi is the world's first, truly intelligent, mobile, personal robot for your home, that places you at the center of your technology, including smart home devices, online content and video communications – harnessed by the power of your voice.",Venture Round
SquadLocker,20,2/25/2020,Retailing and distribution,Warwick,Rhode Island,ABS Capital Partners,"SquadLocker and its innovative suite of disruptive technologies are transforming how leagues and teams manage decorated team gear and apparel. Offering the world’s leading athletic brands, SquadLocker manages the entire process from instant online store creation as well as decoration, production/fulfillment and customer support, all from its wholly owned facility.",C
Homie,23,2/25/2020,Software,Salt Lake City,Utah,KPCB Edge,"Homie is automating the entire process of buying and selling a home. Let us show you how easy home buying can be. Request a tour on any home, listed on any site, for free.",B
Eaze,35,2/26/2020,Healthcare services,San Francisco,California,DCM Ventures,"Eaze is making the way people access medical marijuana easy, quick, and professional. Patients use Eaze technology to safely and discreetly order and receive deliveries from Proposition 215 compliant dispensaries in less than 20 minutes from any connected device.",D
ShipHawk,4,2/26/2020,Software,Santa Barbara,California,Autotech Ventures,"The ShipHawk family is growing fast. Our company culture fosters a supportive, collaborative, and outgoing team environment. Our product is the first of it's kind and we take pride in the quality of our unique technology. Every team member represents our core values, contributes to our company culture in a positive way, and is truly a member of our family. ",Venture Round
SambaNova Systems,250,2/26/2020,Software,Palo Alto,California,BlackRock,"We are a computing startup focused on building machine learning and big data analytics platforms. Our software defined analytics platform enables optimum performance for any ML training, inference or analytics models.",C
HeadSpin,60,2/25/2020,Software,Mountain View,California,Dell Technologies Capital,"HeadSpin is a powerful, easy-to-use testing and mobile experience platform.

",C
MycoWorks,17,2/25/2020,Biotechnology,San Francisco,California,Data Collective DCVC,"MycoWorks is a biotechnology company that makes fine leathers from mycelium (mushroom) for applications in luxury fashion, footwear, and beyond.",A
Tecovas,15,2/25/2020,Retailing and distribution,Austin,Texas,Plus Capital,Making beautiful boots and selling them directly to you since 2015,B
Notivize,0.5,2/25/2020,Software,Palo Alto,California,Heroic Ventures,"Notivize, a collaborative platform that allows non-technical product teams to own and drive product engagement via intelligent user notifications, today announced its seed financing.",Seed
AllSeated,4.4,2/25/2020,Software,New York City,New York,Liquidity Capital ,AllSeated is the first online collaboration application built specifically for the events industry by industry professionals themselves. ,Venture Round
ZeroFOX,74,2/26/2020,Software,Baltimore,Maryland,Intel Capital,"ZeroFOX, The Social Media Security Company, enables organizations to identify, manage and mitigate social media based cyber threats",D
Q Bio,40,2/26/2020,Biotechnology,Redwood City,California,Andreessen Horowitz ,"Q Bio gives you a deeper understanding of your body and how it’s changing, so you have more control over your health.",B
Liquid Death,9,2/26/2020,Consumer Products and Services,Los Angeles,California,Velvet Sea Ventures ,100% natural mountain water from the Austrian Alps. Served in ice-cold sustainable cans. ,A
Brace,10,2/26/2020,Software,Santa Monica,California,Y Combinator,Brace is built on the idea that there must be a more transparent and efficient way to service borrowers in times of need and hardship. We provide technology solutions to drive innovation in the mortgage servicing industry.,Seed
Pony.ai,462,2/26/2020,Software,Fremont,California,Toyota Motor Corporation,"Our mission is to revolutionize the future of transportation by building the safest and most reliable technology for autonomous vehicles. Armed with the latest breakthroughs in artificial intelligence, we aim to deliver our technology at a global scale. We believe our work has the potential to transform lives and industries for the better.",B
Plume Design,85,2/27/2020,Software,Palo Alto,California,Charter Communications,"Plume is the pioneer of Adaptive WiFi, the world's first self-optimizing WiFi delivering the most reliable and consistent Internet experience to every corner of the home. ",D
Roblox,150,2/27/2020,Software,Redwood City,California,Andreessen Horowitz,"ROBLOX is a service that provides games based on user-created content. ROBLOX games only run on www.roblox.com. So if you make a cool ROBLOX game, most likely you will not find a foreign website where your game can be played. Unlike a book, movie, music track or Flash game, a lot more than a simple ""player"" is required to run a ROBLOX game. The ROBLOX infrastructure includes an asset farm, game servers, web services boxes, matchmaking servers and more backend technology. We support technological innovation-hey, that's why we started ROBLOX! We're excited to see that new distribution mechanisms are allowing consumers to get content more cheaply and ubiquitously, while simultaneously getting more money in the hands of content producers. We also recognize the need to take down offending content, which is why we support the Digital Millennium Copyright Act (DMCA). If at some point in the future ROBLOX made it possible for developers to make money from their games, this service business model would help ROBLOX developers by making it difficult for others to steal their games. In the meantime, ROBLOX believes that content producers should be protected and paid. SOPA, on the other hand, will reduce payments to artists by strengthening the status quo (specifically, expensive and less ubiquitous distribution of media). This bill also threatens free speech by granting sweeping authority to individuals. As such, we cannot in good conscience support SOPA. It is understandable how well-intentioned people might feel that a law such as SOPA would combat overseas piracy, however we strenuously urge our representatives in Congress to consider the points mentioned in this post and to oppose SOPA. David Baszucki - Founder and CEO of ROBLOX (Builderman). ",G
LinkSquares,15,2/27/2020,Software,Boston,Massachusetts,Jump Capital,Linksquares is a computer software that features AI-powered contract management and analytics tool for in-house legal and finance teams.,A
Ribbon Health,10.25,2/27/2020,Software,New York City,New York,Andreessen Horowitz,"Ribbon Health provides a platform powering provider directories, referral management, and care navigation through an API layer that integrates into each customer’s existing workflow to improve connectivity across the health system. ",A
Flock Freight,50,2/26/2020,Business Products and Services,Solana Beach,California,GLP Capital Partners,"Flock Freight provides FlockDirect, an hubless pooling product that utilizes proprietary algorithms to pool multiple less-than-truckload (LTL) and partial-truckload (PTL) freight shipments so they can be shipped via full truckload service, into a mid-market and enterprise-level solution for businesses across the country.",B
Hasura,9.9,2/26/2020,Software,San Francisco,California,Vertex Ventures,Hasura provides data access and data flow tools and services via GraphQL APIs. The solution automatically generates a real-time GraphQL API using declarative metadata configuration and authorization policies that gives consumers instant use.,A
Aria CV,31,2/26/2020,Medical devices and equipment,Saint Paul,Minnesota,Xeraya Capital,"Aria CV, Inc:   Improving the lives of patients suffering from the disease of pulmonary hypertension.",B
Dray Alliance,10.2,2/26/2020,Software,Long Beach,California,Matrix Partners,"Dray Alliance is digitizing the container trucking industry by creating a simple and predictable platform for containerized cargo. We are the most reliable, transparent, and technology-enabled provider of container trucking for shippers. ",A
Foghorn,25,2/26/2020,Software,Sunnyvale,California,LS Group,FogHorn is a leading developer of “edge intelligence” software for industrial and commercial IoT applications. ,C
Rosy,1,2/26/2020,Software,Dallas,Texas,Social Starts,Rosy is the first research-based technology solution for women who suffer from low libido.,Seed
1Huddle,5,2/27/2020,Software,Newark,New Jersey,Tribeca Venture Partners,1HUDDLE (formerly Sales Huddle) engages employees through daily training games that companies can customize to their brand and be played in under 5 minutes a day.,A
Cyagen,41,2/26/2020,Biotechnology,Santa Clara,California,China Merchants Zhiyuan Capital Investment,"Cyagen Biosciences is a 400-employee company headquartered in Santa Clara, California, with additional locations in Germany, Japan and China. Cyagen is the world's largest provider of custom-engineered mouse and rat models.",B
Lendio,31,2/27/2020,Software,South Jordan,Utah,Mercato Partners,"Lendio is an online service that helps businesses find the right business loan within minutes. Lendio makes business loans simple by matching qualified small business owners with active banks, credit unions, and other lending sources. ",E
NeuroVasc Technologies,34,2/27/2020,Biotechnology,Laguna Hills,California,Weigao Group,"NeuroVasc Technologies is a Laguna Hills, Calif.-based company that operates in the health care industry.",Venture Round
Process Street,12,2/27/2020,Software,New York City,New York,Accel Partners,Process Street is a SaaS application for businesses to build and track their processes using superpowered checklists.,A
Labelbox,25,2/26/2020,Software,San Francisco,California,Andreessen Horowitz,Labelbox is a collaborative training data software for machine learning teams.,B
Agora Services,2,2/28/2020,Finance,Atlanta,Georgia,The Venture Center,"Agora Services enables banking services providers to offer digital banking solutions that best fit their customers’ unique needs with offerings like teen/parent banking, solutions for gig economy workers or elderly-care financial accounts and much more.",Seed
Unqork,51,2/28/2020,Software,New York City,New York,CapitalG,Unqork is an enterprise software company with a no-code platform for insurance and financial services.,B
InformedDNA,10,2/27/2020,Healthcare services,St Petersburg,Florida,CIBC,"InformedDNA is the largest independent U.S. provider of genetic counseling services.  In addition to direct patient care, the privately-held  genetics specialist network provides consultative services to health plans, employers, medical centers, ancillary healthcare companies, government and other agencies seeking to better understand genomic health and its implications for their organizations and the healthcare system overall.",Debt Financing
Axial Healthcare,15,2/27/2020,Healthcare services,Nashville,Tennessee,Oak HC/FT,"axialHealthcare offers personalized services that help patients navigate a fractured ecosystem in order to receive quality treatment. By leveraging services grounded in analytics, axialHealthcare identifies patients at risk, prevents escalation in their condition, and supports appropriate treatment enrollment and adherence.",C
Tempo Automation,17.5,2/27/2020,Software,San Francisco,California,Tuesday Capital,"Tempo provides an in-home fitness system that combines computer vision, artificial intelligence, and human coaches.",Venture Round
SWORD Health,9,2/27/2020,Medical devices and equipment,New York City,New York,Khosla Ventures,"Sword is a tech-enabled provider of musculoskeletal care that has developed and tested therapeutic intervention that treats preventive, chronic and post-surgical pain in-market and clinically.",A
